"Date","Rating","Text"
"7/17/2019","1 star ","Got the flyer under the door of our hotel and ordered. They wanted our room number but we kept telling them to just meet us in the lobby. Talked to the lady at the hotel and she said that they were horrible and not to order from them. She was also saying that company was not allowed in the hotel but they sneak in to put the flyers under the door and they keep kicking them out. Took FOREVER for them to show up. The pizza was cold and crust was not cooked completely. Oh and how it was cut was the most ridiculous way ever, wish I would have gotten a picture but the person who cut it had to be high, we actually think the restaurant may be a cover for drugs. Wish we would have yelped this first. Don't order from here."
"5/19/2018","1 star ","Very disappointed in the business. We order pizza, lasagna, spaghetti, fried pickles and fried mozzarella. Nothing was edible. Pizza was undercooked. Pickles were burnt and rubbery. Was over charged for everything and wasn't left with a receipt. Would not recommend this place to anyone. Wish we would have checked the reviews before we ordered."
"9/28/2018","1 star ","I received a flyer under my hotel room door. I should have taken the time to read the reviews. This place is horrible, from the order taker, to the delivery driver and the burnt stale food delivered. A score of 1 is too good for this place. This place should be completely shutdown. It took two hours to get the order. Check out the pictures"
"3/4/2017","2 star ","Ordered using UberEats.  Cool concept. Didn't check reviews before ordering. My fault. Ordered Chicken Fettuccine Alfredo, Wings, Calzone, cheesecake, chocolate cake. The chicken fettuccine was spaghetti noodles not fettuccine, it was bland and tastes very frozen dinner, cheesecake and chocolate cake were both bad, definitely store bought/frozen type.  The wings were Buffalo flavored and were pretty good and the calzone was best of everything. So overall I would give it 2.5 1 star for chicken fettuccine, cheesecake and chocolate cake, 3 stars for wings and 4 stars for calzone."
"9/26/2020","1 star ","Ordered through a delivery app and the whole order was wrong. I called to ask about it and in the middle of the conversation the guy hung up on me and I called back saying that I was trying I ask him a question.... anyway I totally get that the guy who dropped if off working for the delivery app gave me the wrong order but when I tried to reorder and get a NEW order through the pizza place  directly, they canceled my order and didn't want to deliver to me. Ok then, fuck my business I guess! I should have looked at the reviews before giving them any business! HORRIBLE REVIEWS FOR A REASON!! The wrong order I received was stone cold and gross looking. PLEASE DONT EAT HERE!"
"10/30/2016","1 star ","This pizza place is the absolute worst. Don't give them business. I ordered 2 smalll salads and a large pizza.  40 dollars later the lettuce was wilted and just horrible. I work at a pizza place in Austin. The ""large "" pizza is not the size they say it is. And tastes like it's 3 days old. I called back the restaurant and the ""manager"" I spoke to fought me tooth and nail. Not someone that should own a business. He was combative and incredibly ignorant  . He could care less if we actually liked the product they sold for us for again ""40"" dollars. As somebody in the industry , i am letting y'all know this is not a place to order from when you go out of town"
"9/7/2019","1 star ","I gave this place a second try, because the first time they messed up one of my pizzas toppings. But this time, the pizza was terrible. Burnt. Only pepperoni. No other toppings. I paid for two extra toppings. Very dissatisfied. Very disappointed again."
"9/7/2019","1 star ","Was visiting San Antonio when we decided to order pizza, pasta and wings. The wings were just ok, the pasta was a little burnt and didn't have much sauce on it and while eating the pizza we found a hair cooked into the cheese. Was not happy at all learned to check with yelp first before ordering"
"4/8/2018","1 star ","I placed an order through Uber eats not knowing about this place. They placed myOrder back 45 minutes from set time of delivery. I decided to call the pizzeria twice no answer.... I canceled my order after seeing the poor reviews one food and management. I don't appreciate them not communicating with me. . . I understand it's Sunday, it's close to closing time... but no matter what you should answer phone calls... answer costumers questions.... never again."
"7/15/2019","1 star ","HORRIBLE SERVICE!!!!!!!! Told my order would take 40mins, my card was run & 2hrs later NO PIZZA! Called and was told it would be delivered in a few mins... waited & NO DELIVERY! Called back and asked where my order was, put on hold and then was told my order was on its way, asked for an estimated time since I was already told it should've been delivered a few minutes, the guy couldn't give me a time which then he became very ugly, and said that he would cancel my order, refund my money back because I was not going to be happy & hung up on me. About 30mins later we get a knock at our door and the delivery guy is at the door. The food was HORRIBLE! Pizza was not cooked all the way, all doughy, salad (geek salad) was welted, the meat smelled moldy, and the fried mushrooms were soggy and the batter was disgusting. Overall I'd give this restaurant a - Star review. NEVER WILL I ORDER FROM THIS PLACE AGIAN. HORRIBLE SERVICE, OVER 2 1/2 HR WAIT FOR HORRIBLE FOOD!"
"6/30/2018","1 star ","Same as everyone else. This place slides their menus under the doors of hotels. It's been two hours, and we still haven't received our order. We called and were told that they were calling the driver and would call us back. They never did. We called again and were told it would be 15 more minutes...that was 30 minutes ago. Definitely should've checked the reviews first.Update: just called back to cancel because it's been over 2 hours, and the woman yelled at us and refused to take the charge off of the credit card. Then she hung up on us."
"4/29/2019","1 star ","I ordered my food at 11:30.. They had the audacity to wake me up at 2:00am after hearing nothing about my order for hours.... It was really unprofessional and just absolutely ridiculous.. I do not recommend. I was already iffy about ordering due to the one star."
"6/25/2020","2 star ","Ordered through doordash. I xhecked the online menu and the menu on doordash and I've been eating there for man, many years.  I know the food is pretty good.  I ordered a Stromboli with a house salad.  The salad vegetables were old but at least the dressing was good. There is not an option to order extra marinara sauce or even marinara sauce at all.  I got to eat my Stromboli dry.  When I called them the guy said it doesnt come with marinara, only the calzone does. I explained that it had every time I'd eaten there in person.  He had no reply.  CALL before you order online.  Customer service is not good.  Doordash rocks though."
"7/5/2018","1 star ","We are here from out of town... LA to be exact ordered a large pizza at 8:55 pm our pizza came at 10:40pm cold AF!!! We ordered from them cause when we checked in they had their advertisement in the room meaning that they cater to hotel delivery. NOPE!!! Horrible customer service!! I had to call 3 times to find out when the pizza was coming!!! So far not a good look !!! Being a out of state customer I know that I won't be ordering from this place again when I come back to San Antonio!!! This place is shady af !!! Don't go here!!! Also when looking at my charges the double the charges!  I went to the establishment to speak to the rude ass person who hung up the phone .... I asked to speak to the manager she said he was out making deliveries she didn't know what time he would be back!!! Really ?? Then I asked for the owners name I just his name is ""mike"" I don't know his last name!!  Really u work for someone and u don't know his last name???Needless to stay when going to this establishment it was dirty AF!!! Had I known I would had never ordered for a place like this!! I spoke with the hotel and asked if the supported this establishment and I was told NO that they had even called the police on them with regards to these matter!!! Well since I find it my obligation to advise for future buyers!! Don't waste your time, this is place is BELOW A ZERO!! I hope the owners read this also!!! On a last note!! Yes I'm that person!! I filed a complaint with San Antonio BBB!!! It's a health issue and issue with charges!! I'm sure this type of place makes there money on ppl who are from out of town and just figured to hell with it!! Well not me!!! I want action... trust and believe I will be following up on this matter with the BBB!! Can't stress it enough!!! Don't go to this establishment and get over charged and have to deal with RUDE ASS PPL WHO ACT LIKE YOU OWE THEM SOMETHING!!!"
"3/31/2020","1 star ","Pizza wasn't cooked all the way thru toppings were wrong just a spot of sauce. Toppings that were on it wasn't fit for a dog. But I ordered thru Uber eats do not sure if they have pre made items sitting ready for quick cooking times or what. Delivery was unbelievably fast probably explains the raw dough I was served. Next time I'll just have a microwave pizza anything but this place."
"6/26/2018","1 star ","Where do I begin, . . so many issues I will just list them in bullet point.* The order didn't arrive on time* The pizza was cold and tasted nasty, poor quality* The hot wings, stuffed peppers, fried mushrooms were freezer burned* The fried mushrooms were old and mushy* The pizza was not fully cooked, raw dough throughout* They over charged* They are very rude* Be aware they solicit, if you're in a hotel nearby or off of 151 by Sea World they may slip their menu under your door."
"6/27/2017","1 star ","Should have checked he reviews before presuming aggressive advertising meant a better business. Ordered a large 3 topping special (where i requested black olives, Canadian bacon, and pineapple) with a 2 liter soda (requested Dr. Pepper) special for $15.99, plus an order of garlic cheese bread for $2.49, was told on the phone to expect a 45 minute wait, which seemed strange for 8 pm on a Tuesday evening. Driver had me meet him outside, so though I did notice in the dark that the large was what anyone else would call a medium, I did not realize the pizza came with Canadian bacon over the whole thing, black olives on only one half, and no pineapple, plus was not very hot despite eating it immediately after getting it back to our room. When I got the 2 liter out of the bag it was root beer instead of Dr. Pepper. Then the garlic cheese bread was 1/4 of a small loaf of Italian about 5"" with a bit of mozzarella barely melted together but not enough to melt into the bread.Worse, I realized after I got in that the receipt I signed in the dark was for $37.89, which would have $33.15 before tax + $2 delivery fee for what should have been $18.48 (and I added a tip onto that). There is a line of fine print about a delivery fee applying, but no mention that the fee was a random number approximately the same as the order amount."
"1/18/2019","1 star ","Worst place ever!!! Do not order from here!!! Food took over 2.5 hours to deliver (quoted 45minutes to 1 hour). I called 3 times asking where the food was, guy on phone kept saying ""be there in 10 minutes"" what a liar! Food was cold, soggy, tasted disgusting, and 2 out of the 5 items were made wrong!!! Ordered mozzarella sticks, they looked like they were from a microwave!! Wish I could give 0 out 5 stars!! Terrible place, just terrible!!!"
"8/19/2018","1 star ","I should have read the reviews first! This place is awful. I was visiting San Antonio for the week and it was late on a Friday night. Decided to give this place a try. I ordered a 3 meat calzone with fries, an 8 piece order of lemon pepper wings and a slice of caramel fudge cheesecake. An hour and a half later, I get a calzone that was burnt on top, undercooked in the middle and unseasoned, soggy, unseasoned fries and some plain ""cheesecake"" that they put in the bag with the fries so it was hot and looked melted. All of it tasted horribly and ended up in the trash. Oh, and instead of wings, I received someone else's pizza. I called the restaurant back (I had to call 6 times from 2 different phones before someone answered) to tell them I received a pizza instead of the wings I ordered. Now, almost 2 hours since then, I STILL don't have my wings and I don't want them. WORST food and WORST service ever. Do not waste your time or money.**UPDATE** I drove to the restaurant to get my money back. Robert (who claims he was not on the clock but only there to help out) offered to make my meal over again, but if it was garbage the first time then I certainly don't want a second order. I said no - just give me my money back. He says he will make my same order ""perfectly"" and also make me an order of my choosing tomorrow, but he didn't have the authority to refund my $30. So, he had the authority to waste another $60 in food but not to refund my money?? Ok. Plus, the place is FILTHY. Robert is sweating, wiping his head with his bare hands and telling me how he's helping to do everyone's job. He then proceeds to tell me how busy the restaurant is and how 14 people including all of the cooks and cashiers are out doing deliveries. What kind of business practice is that?? I then asked for the manager's name because the conversation with Robert was getting absurd. He tells me ""Mike Jones."" At this point, I am too through. He says he will have the manager call me tomorrow, but I told him I'll just be back up there and make sure I voice my concerns right in the middle of the store where all of the [potential] customers can hear.This place needs to be shut down. The establishment is disgusting, service is sub par, the food is atrocious and the audacity of this Robert to argue me down about this piss poor excuse of a restaurant just blows my mind."
"2/5/2019","1 star ","Not sure how serious the owners are taking the Yelp reviews, but I couldn't see anyone ordering from here with so many negative reviews. It seems as though it may be just a write off instead of a true business."
"6/14/2019","1 star ","Ordered at 945pm. Was told 45-1hrCalled at 11:15pm no order11:20 Shows up with drink gave me $2 cash back11:23 realize my order of wings are missing from order. Guy on the phone blames delivery man, said he will send them back out. 12:50am no wings1am been up on hold several times. Asked for my portion of the order to be refunded. I will be contacting my bank if they do not refund.112am I tell Nancy AGAIN TO REFUND the portion of the order. She tells me that the cook sent the order. ITS 3 HOURS in I want a refund. She puts me on hold.1:15am someone picks up the phone but hangs up.1:16am.call back placed on immediate hold.1:16am I was hung up on again120am they keeps forwarding me the voicemail. I will be disputing charge with my bank. $30 for WORST CUSTOMER SERVICE EVER!!"
"11/2/2018","1 star ","If I could give them no stars, I would. I ordered a pizza for delivery the person on the phone never took a name or address before hanging up on me. I called after an hour when it was supposed to be delive​red. Called and the guy who answered had no clue where his driver was and sounded like he didn't care. Called again after 2 hours and still nothing, and the guy told me if it's not there by now it won't come and hung up on me. I called back to speak to a manager, and the same guy said are you serious. Manager sounded like she wasn't going to talk to her rude employees.  DO NOT ORDER FROM HERE!!!"
"6/23/2017","1 star ","NEVER AGAIN!!! Called to order a pizza with salad and pepperoni bread and the people were very unprofessional! Never gave us a time frame on when the food would be here and didn't give a total. After an 1 hour and 20 min we finally called and said to cancel the order they tried to argue with us and then make excuses on why it was taking so long. After being assertive and telling them that we didn't want the food so forget it they hung up on us. Luckily we did not give credit card information!! The guy showed up 15 min later and our hotel called us saying that they were here. We explained the situation to the front desk and they sent them away. Apparently the driver looked dirty and the manager of the hotel stated he was calling to tell this place to never send the driver again. The people then tried calling back. Yeah nope!NEVER ORDER FROM THIS PLACE!!!"
"11/2/2019","1 star ","Very poor service...never tried the food, after an hour and a half I cancelled the order. Tried to call and speak to the manager...what a joke. Not sure they even have one! They wouldn't answer questions and hanging up on me. Take my advice and DO NOT ORDER FROM THEM!"
"11/25/2019","5 star ","I was impressed! Based on the reviews I was skeptical, but everything came out delicious. Pizza was perfect and the wings were good! I will definitely eat here again. I had it delivered through Uber eats and it took under an hour. I recommend!"
"5/29/2018","1 star ","We wanted a good delivery service and just chill out in our hotel. We called this place, ordered 2 salads, a calzone and 8 wings. They said the total was $46. My husband questioned the price the lady on the phone started using foul language and was completely rude. We cancelled the ordered and a man took the phone and called my husband a ""cheap bastard"" the reviews are horrible for a reason. I'm sure the food would've been too. Glad we dodged the bullet. So many other places to order from!"
"6/24/2018","1 star ","Never again!!!  We were staying at a hotel near by and we decided to order from this restaurant since we saw a flyer in the hotel room, I should of changed my mind as soon as the person picked up. The woman was rude as she took my order and when the food got to us about 2 hours later, the food was horrible. Philly cheese steak didn't look or taste like one, pizza was cold and very greasy, And chicken alfredo... I make better chicken alfredo. Do not order from here or you will be disappointed !"
"2/13/2019","1 star ","100% Disappointing. I have stayed at the same hotel my last few trips to San Antonio and these people are scary putting them and us in danger by roaming the halls placing flyers under the doors. The hotel has reported this behavior multiple times and it still continues. They sneak in. Dangerous Stupid and I would never eat here because they threaten my ability to feel safe."
"4/2/2017","1 star ","Horrible!!!..... I should have read the reviews first.DO NOT WASTE YOUR MONEY.....Note to the owner and/or management team : in an area that is dependent upon tourist money and activity, one would be led to believe that a pizza shop located in such a competitive market would make every attempt to rise above its competitors by first, producing a good product. Second, by assuring that people are getting delivered what they paid for and thirdly, if you make a mistake don't be rude when it is brought to your attention. You should do everything in your power to prevent someone like me from ever writing such a negative review about your business. Grubhub should not partner with this establishment.....association with horrible customer service does not equate to a favorable financial outcome for either parties."
"4/7/2018","5 star ","I ordered the Supreme Pizza through UBER EATS. It was a very cold night so the pizza by the time it arrived was cold. I put it on the oven for 10 minutes and it just became one of the best pizzas I ever had in San Antonio. The pizza dough is spectacular. Even that I live in Alamo Heights and the pizzeria is far from my house, it is definitely worth the wait."
"8/17/2018","1 star ","Ordered zucchini and they delivered mushrooms ! Tryed to call back to correct Order and they ignored my call Pizza not that great Would not order ever again"
"9/22/2018","1 star ","We ordered our pizza nearly two hours ago and still haven't received anything! No one is answering their phone and we had to have Grubhub refund us our money! Don't do it!Just got a hold of the pizza place and the woman was rude as hell and hung up on me! Awful"
"8/11/2018","1 star ","Food was horrible delivery driver was drunk 2 hours late and can't believe the motel allows them in to pass out coupons. Never again!!!"
"8/3/2018","1 star ","STAY AWAY FROM THIS PLACE!!!! I'm giving 1 Star only because I cannot give less!!!! I had to wait over 2 HOURS for my food and when it finally arrived they completely forgot my darn pizza and had no silverware or even a damn pen for me to sign. The food they did send was TERRIBLE!!! Absolutely the worse food experience I've ever had!!!!"
"7/7/2017","1 star ","I wouldn't feed my dog this food. Desperate and hungry, I quickly called and ordered from a flyer they slid under my hotel room door. Crazy of me not to read the reviews first, because I could've save $30. All I ordered was spaghetti and a brownie and wondered why the man never gave me my total over the phone. The whole place is scandalous. He was so eager for my card number without even having my full order. Took over an hour and a half to deliver after saying 30-45 min. PLEASE save your time and money! I threw away the whole order. It didn't even LOOK good and smelled like old canned food."
"7/29/2019","2 star ","We stayed downtown for a military ball. Reading the reviews, we lucked out... maybe bc we ordered early in the evening? They got our hotel confused with another nearby one through the same chain, but our delivery guy was nice and very apologetic. The spaghetti and lasagna we ordered was pretty good. Very generic, but nonetheless, it was saucy and very cheesy."
"8/29/2018","1 star ","Ordered a gyro late at night from the hotel room after a late flight. Food was delivered in 30 minutes but was delivered by the most shady dude. Made me a little nervous. The guy was nice though, just shady looking. Gyro was sloppy and the fries were super soggy and cold. The gyro tasted okay but couldn't eat the fries. We'll see if I suffer any I'll effects later. The guy on the phone belched super loud when answering the phone, ha. It was quite surprising. Would not EVER order from here again."
"6/22/2017","1 star ","Out with the kids on vacation and ordered a pepperoni pizza and 8 wings. This has to be the driest pizza ever, the pepperonis literally have no flavor, and the buffalo wings I ordered are even drier and burnt. What a waste of 30 dollars. I usually look up reviews before eating somewhere I don't know but we came up from swimming and ordered from flier in hotel room. If I could rate no stars I would."
"6/10/2017","1 star ","Ordered 2 large for delivery . 1hour and 40 minutes later no pizza and shop will not even answer the phone. My bad. Should have checked Yelp first."
"7/12/2018","1 star ","Ordered a pizza from here,delivery drivery was nasty and so was his car. The pizza had zero taste!!!! It was under cooked and burnt at the same time. Seriously! Do not order!"
"11/1/2018","1 star ","Horrible pizza!!!!First off, the guy who took our order had no idea what he was doing. I said I needed to pay with a credit card and he said can you pay with cash, said hold on, got a manager who put  our credit card through. Everything tasted old and we were sick from just a few bites. Just like all of you I really wished I would've checked the reviews. Let's all remember to always check the reviews weather we're in our own town or another town, where ever we are."
"6/13/2017","1 star ","2nd chances don't come often and I definitely won't give it a 3rd. Our first time ordering we were told it'll be a 45min-1hr wait. After 1hr and 15mins I placed a call to check on a status and was told it should be on the way. 45mins later we finally got our ""cold"" pizza! This was a Saturday night so I understand it could be busy but seriously! Second order was a $17.99 special (1lg pizza and 8pc wings) I asked for a total and the lady says she's not at the register at the moment but it's a $4 delivery charge plus tax. I asked how long and she says 40-45mins. (I shouldn't have to ask!) An hour later and no food yet. I called to check on it and was told he just left. When he finally arrived he says $26. No hello or hi, just a total that was more than what I was quoted. And again... cold pizza! And... 7pc wings. Unprofessional, poor customer service skills and poor food."
"3/30/2018","3 star ","Ordered pizza and wings, meatball sub and cheesesteak sub.  Pizza was good, subs were good.  Wings could have been crispier."
"8/11/2019","1 star ","We have never been to San Antonio and we were looking for a pizza place to eat at. This place would receive 0 stars if I could rate it. We checked reviews after finding this place on Uber and read terrible reviews so we called the pizzeria to ask for some information and give this establishment a fair shot. The lady who answered the phone was rude and had the worst attitude on earth. She was so bothered by simple questions as if everyone on earth that has never been to this place should know everything about this place.. She literally asked us to get to the point while we were on the phone with her. This happened 8/11 at 10:36pm. I'm writing this post so that every single person on the internet reading the reviews on this place doesn't think these reviews are a mistake. This place is god awful and the only reason they seem to have stayed afloat is because everyone in San Antonio does not have internet access and is unable to view the horribleness they are about to experience. I can not believe any person would allow a business to be run the way that this place is and I would honestly not be surprised if this place disappeared within the next 2-3 years as the world becomes more interconnected. I mean seriously whatever kind of person is doing the hiring here should have never been trusted with a business let alone your personal information. I can only imagine that everything here runs mediocrely just by a simple phone call and seeing everyone's burned pizza pictures. Thank you yelp for helping us avoid a disaster. If you choose to eat here after reading this, YOU DUG YOUR OWN GRAVE."
"6/24/2017","1 star ","Ordered pizza to our hotel room, lady I ordered from told me she didn't have the total but would send the receipt with the food. So after an hour and a half it gets here. They forgot our 2 liter and we were charged $35.00. This pizza is probably the saddest pizza I've ever seen....pure soft dough...disgusting...if I could give them a negative score I would...just don't order from this business it's disgusting and unprofessional..."
"10/23/2017","1 star ","They left a flyer under my hotel door. I called five or six times for an hour and NO ONE PICKED UP. this was at 8 pm on a Wednesday & Thursday. two days in row!!! I'm not sure what was goin on but that's awful business practice."
"4/29/2018","1 star ","Worst customer service I've ever heard from. Lady who answered was rude and claimed pizza was already on its way when the Uber tracker shows it's still being prepared but the lady said it was already sent. All I wanted was Parmesan cheese but it's the last time I order through you guys"
"6/11/2017","1 star ","Ordered tonight (Sunday night) at 7pm, they told us 45min- an hour for delivery.. we called back at 8:30, they said it was still on the way, called back at 9 and they were very rude and unprofessional, the guy hung up on us because we were asking where our pizza was. So we decided to just go get food elsewhere, came back to our hotel and we're about to sleep and they came to the door at 10:30, and called saying did we order a pizza !!!! Yeah 3.5 hours ago!!!!! Worst place ever! DO NOT ORDER FROM HERE!"
"4/21/2017","1 star ","We ordered and were told that it would be an hour wait. Fast forward 1.5 hours later - still no pizza. We called, they said our order was out for delivery and would arrive any second. 10 minutes later, still no pizza - so we called and canceled. Then, 2 hours and 10 minutes after we ordered, the pizza delivery guy arrived with our order. We told him we canceled and refused to accept the order. Absolutely horrible delivery timing and it wasn't even a weekend night."
"5/3/2018","1 star ","Worst customer service! Delivery took 2 hours and half long. Delivery guy rude! Pizza didn't taste well it was cold!"
"8/23/2018","1 star ","Shit. My order was meant to be a bacon cheeseburger pizza and I received a pepperoni pizza with literally 7 pepperonis on it. I also ordered the fried mushrooms and a gryo. The batter on the mushrooms was pretty much raw and the gyro had almost no meat and had a chunk or clear plastic in it that I bit down on and could have chipped a tooth. Do NOT order from this restaurant."
"6/11/2019","1 star ","Food was gross. Seemed like they had it under a heat lamp for awhile because it was soft. The fried pickles was the only good thing I received but I paid 8.99 for 8 nickel sized pieces."
"4/19/2018","1 star ","Only one star because I can't give them zero. Delivery Oder shows after an hour and a half. Combo of wings, fries, and a two liter drink showed at my door with no drink, short 4 wings, and an order of fries with about 5 fries in it.  Called store and they said the charges for the food would be adjusted.  It never happened. Now they won't talk on the phone. This is basically theft. Next week when I'm in town I will stand at there front door and call the police about theft charges on the night manager.  Don't waste you time or money on this place. I'll be working hard to get this place shutdown."
"7/6/2017","1 star ","I would give less than 1 star if I could. My fault i didn't check reviews before I ordered. I'm from out of town and ordered delivery to my hotel, 2 hours later and still no food. I called and the driver answered and said he went to 3 holiday inns and couldn't find mine. Really!?They had my number, but the driver or the store never called me. The mgr said she would send him right back and I asked, with the food you made 2 hours ago? I insisted they remake the food and have it here within a 1/2 hour. Still waiting......next call is to amex to claim fraud on the charge. Worst delivery experience EVER!"
"1/14/2018","1 star ","Someone told me that they stay open late and deliver quickly so I gave them the benefit of the doubt and give him a call I ordered a combination pizza and some spicy wings. Your order got here an hour later the messed up on the order and gave me just a sausage pizza. So I called them back and they said they're going to send me another Pizza the right pizza. They never came and now I have to call them in the morning to make sure that they deliver my pizza later today. I do not recommend this place"
"7/4/2018","1 star ","Trust the reviews! I as well ordered thru  uber eats  never again. Just glad I got my money back."
"6/22/2018","1 star ","Unfortunately, I didn't look up the rating before we ordered. While we are at the Hilton San Antonio Hill Country we receive a menu under our door so we decided to order dinner out. I called but they needed the address of the hotel so I said hold on and she hung up on me. I called back, made the order and said it was gonna be an hour for delivery. The order came an hour late so two hours after I placed it. The pizza was cold with barely any cheese, the spaghetti sauce was not good and the container was barely filled. The garlic bread wasn't good either and was cold. The good thing is my kids liked their wings which were lemon pepper and teriyaki. They need to work on food quality and customer service."
"10/13/2018","1 star ","Food showed up warmish at best. No ranch dressing for the rubbery chicken wings. My fault for ordering late night food at the hotel. Won't make this mistake ever again.  Quoted 45-55 minutes. Closer to 65-70 minutes."
"2/15/2018","1 star ","My first time ordering here to my hotel, and I will not order again. After waiting an hour, I called to see where my order was, they said someone was coming. 30 min later I called again, still was told someone was on the way and they hung up on me. Finally, I called to cancel the order, and they said I could not cancel because I paid with a credit card. I will cancel with my credit card company, but this place is a complete scam."
"12/27/2017","1 star ","After 2 and a half hours they still haven't delivered...and lied to us 3 times about when it would be here...nasty people?answering phone...stay away !!! Terrible experience ...my worst ever on Yelp and my first one star review and that's only because you can't give them a negative number!"
"7/12/2019","1 star ","I missed my cousins bridal shower because I couldn't leave the toilet after eating this pizza the night before!"
"4/29/2017","1 star ","The absolute worst $40 ever spent. Just disgusting. Not to mention the delivery guy couldn't understand a word I said. Never again"
"9/11/2018","1 star ","Should have read the reviews before ordering. They are only good at sliding flyers under doors. Ordered 1 hour and 40 minutes ago. Told 50 minutes. After 4 calls and repeatedly told it is almost there, I finally told them don't bother"
"1/17/2018","1 star ","I wish yelp would allow zero stars. Absolutely horrible food and even worse service. Didn't deliver the right food and delivery person showed up in pjs (including slippers). Food took over an hour and was cold. We offered our dog a piece of the crust before we threw it all away and she didn't even want it."
"1/6/2018","1 star ","Can you give zero stars???   Never ever have left a review but this is so bad I had too!!!  Flyer left under door at embassy suites so I thought it would be ok. Wrong!!!! Ordered and they said 26 minutes to an hour... alright. 70 morning later called and they said any minute. 90 minutes later same thing.... finally got my cold pizza and guy had no change.., I guess he thoughtThe change was all his for his exceptional service ???  All I can say is just don't order from these guys.  No No NO!!"
"8/21/2019","1 star ","I order Spaghetti and Meatballs which was rubbery at 8.99, Salad at 3.39 and a Coke at 1.39 and charged 30.00 dollars.   The driver arrived 2 hours laterrrrrrrr.....I asked him what happened and he said he has many hotels to deliver to.  I looked at the receipt and called to talk to the Manger.  I was told by the owner / manager that I would be refunded my money since he charged me twice for tips.  I was like, but you have a tip line on the receipt.  Do not order from this place.  I have an outstanding credit dispute.  If you are going to charge, then tell the customer how much and why so as the customer does not leave another tip.   The food is not that great and I would nor recommend ordering from this place.   The quality of food is bad and getting over charged is not acceptable."
"11/14/2018","1 star ","I am very glad I didn't have to eat this pizza, after the experience I had with this place I am not sure how quality this pizza would've been. After reading this reviews on this place and looking at the Yelp stats I had to try this place for myself, most reviews seemed dramatic and I just really wanted to know what the fuss was all about. I decided to place the order over the phone for pickup (Some reviews complained about delivery times and some people did not receive their pizza at all). I ordered one large pizza half pepperoni and half cheese, i was told my total was $5.30 and it would be ready in 20 minutes. I left to get the pizza and arrived at the restaurant maybe 25 minutes after the order was placed. Pulling into the driveway was a little scary but I made it in to find there was no parking lot, i had to park at the next property at a mechanic shop (which also had no parking but i was able to find an open area to park in). There was several doors on the building and as I walked around the entire building i saw that only one door was unlocked (A room which happened to be an apartment that i assume the owner of the restaurant was renting out). After this awkward encounter with the man renting the apartment, I rechecked all the doors to make sure I wasn't missing something (Like perhaps the pile dog feces on the path to what I thought was the front door). As i began to leave a car pulls up, driving literally on the sidewalk which i was standing. The man (which i assume is the owner of the restaurant) rolls down the window and notifies me that the establishment will be open in about 30 minutes. This was at 5:00 pm on a Wednesday, the hours of operation of this restaurant on Wednesdays is, according to Yelp, 11am-1am, So I was a little shocked to hear this, especially considering the woman on the phone took my order and told me that the Pizza would be ready at 5pm. After hearing this news I left the establishment as soon as possible, without my pizza."
"4/30/2019","5 star ","I found this pizzeria on accident I give it a try it did not disappoint. The pizza was good even though I live 15 minutes from here I would definitely come back and I recommend this place. There was four of us total and all of us like the pizza. We are looking forward to trying more food from here."
"4/7/2018","1 star ","Awful service, I called to place order in which I was told it would be a 30 minute wait. When I went to pick up my order, I was told my order was given away to someone else and had to wait for it to be remade. After I received my order, one pizza was half cooked, I called to explain the issue in which I was told by a young lady she would replace the pizza, by making another herself and to take back the half cooked pizza. 5 mins later once I got back to place, young lady said guys would replace it and quickly left. This replacement pizza was burned from the edges and also poorly made. Never going back."
"4/2/2018","1 star ","Wow!!  They mess up the order completely and then tell us if we don't want it just send it back!   No offer to fix it, offer a discount or anything.   They did not even care that they messed up.  Apparently throwing away pizza is a better option for them.   If I could give no stars that is what I would give this place.   Do yourself a favor and order from anywhere else and NOT from them."
"12/28/2017","1 star ","Wow!!  They mess up the order completely and then tell us if we don't want it just send it back!   No offer to fix it, offer a discount or anything.   They did not even care that they messed up.  Apparently throwing away pizza is a better option for them.   If I could give no stars that is what I would give this place.   Do yourself a favor and order from anywhere else and NOT from them."
"12/16/2019","5 star ","Hello fellow aficionados of fine dining. My name is Chef Chuggs, profession chef and author of the critically acclaimed cook book Lick the Wooden Spoon. And I would like to share my dining experience at the finest eating establishment ever established for eating. 24th Street Pizza. I had high expectations for the eatery and oh boy was I not disappointed. From the second I called in to order my pizza the graceful woman who took my order immediacy hung up on me, obviously because she was attending to other customers. You see, that's what a good business owner should do. I ordered a large sausage pizza for me and a couple of friends of mine. I ordered it at exactly 4:20 pm, it arrived at 6:09. My friends had already left at that point angry, as they had actual lives to attend to. But hey more pizza for me, am I right? The second my fingers grazed that cardboard box I knew my mouth was in for an exciting ride. And I wasn't wrong. When I opened the box I was greeted by a culinary delight that was somehow both frozen but also blazing hot, best of both worlds. The dirty oven that it was cooked in provided extra flavor as well as the mold on top. And that crust, oh my god! When it tastes like charcoal, that's when it's the best. I felt like I was back home at my grandma's house. Even after I was ton I felt yet another treat lurking into my mouth, I fished it out. And much to my surprise I was greeted by a long black curly hair. Good thing, I needed floss anyway. My meal was followed by a session of intense vomiting. My stomach is clear, and I know what I'm gonna do now. Go get another pizza at 24th Street."
